"","healthy_sample1","healthy_sample2","healthy_sample3","healthy_sample4","healthy_sample5","healthy_sample6","healthy_mean","flu7_mean","flu1_mean","flu7_FC","flu1_FC"
"IL6",3.532790656,3.506112157,3.86222465,10.84792242,7.352171523,6.917781821,6.0031672045,11.2822187166667,5.06558124266667,1.87937772384708,0.843818116355228
"IL12B",2.859991,2.985050179,2.582880752,6.932015541,2.862625673,2.727427992,3.4916651895,6.114038651,2.69634529233333,1.75103806326732,0.772223322110516
"PLA1A",2.783971358,2.938718006,2.927507431,6.053301373,4.466491903,3.871127452,3.84018625383333,6.52876007333333,3.45323637333333,1.70011547403885,0.899236689336685
"CCL20",3.358975429,3.505948102,4.622151998,10.91733028,10.39516801,7.341818873,6.69023211533333,10.8539113933333,6.34839694666667,1.62235199111512,0.948905335005759
"CXCL3",2.800062679,3.14792667,3.577130999,7.197022761,6.911485488,2.724020444,4.39294150683333,7.12062984533333,3.21550231366667,1.62092525799786,0.731970209178718
"IL1A",3.3466067915,3.0865452885,3.5999094955,7.3636303315,5.5521236595,3.9108161225,4.4766052815,6.96457328133333,3.79688439683333,1.55577113535453,0.848161532696287
"IFNB1",2.745418193,2.842193831,3.033243159,6.283624671,2.660872229,2.298769307,3.31068689833333,5.137388219,2.33411919966667,1.55175900855688,0.70502565520216
"CXCL1",4.035740185,3.614128196,4.733441636,8.560762207,7.880634308,3.08226881,5.31782922366667,7.91820632466667,3.75383068133333,1.48899221686683,0.705895304916364
"MN1",3.752404183,3.595350162,4.361878833,5.563544871,3.261076382,3.864002533,4.06637616066667,5.92516612166667,3.70728790333333,1.45711215282534,0.911693300583766
"CCL2",2.943400347,3.020114106,2.996590915,5.582259457,3.973206729,2.856823489,3.5620658405,5.13011775866667,2.96496318166667,1.4402085723229,0.832371807380877
"TPPP3",4.158309666,3.923551651,4.068103408,4.75546871,4.128901053,3.825178596,4.14325218066667,4.10738387166667,5.051876366,0.991342957793549,1.21930216788956
"DSP",4.169059134,3.37938947,3.150569273,4.697270448,2.784696749,5.645555312,3.97109006433333,4.60583356466667,4.83356518866667,1.15984112423799,1.21718850752838
"SERPING1",2.854054124,3.420881589,3.278454167,2.951902526,3.052786443,2.481577716,3.0066094275,2.69781970633333,3.62039317566667,0.897296363690502,1.20414482258742
"ANKRD22",3.9716233545,4.4928599265,3.943555148,3.730356876,3.3490011905,3.289842396,3.79620648191667,3.59859091066667,4.56406304283333,0.947943935033211,1.2022694404465
"CNN3",3.486748112,4.035040148,3.670647958,3.326756301,3.047464952,3.19184582,3.4597505485,3.47337134466667,4.11245783833333,1.00393693012711,1.188657326788
"IFI27",3.582496065,3.674979874,3.235038224,3.123812272,6.71868773,7.590537965,4.65425868833333,3.49175435766667,5.48009446966667,0.75022782176232,1.17743658800131
"CXCL10",5.053083788,5.597070909,5.069216387,7.291671077,6.357246613,4.094205664,5.57708240633333,7.96775787166667,6.536447587,1.42866059547883,1.17201918687398
"TEX13B",2.987414756,3.020468096,3.119883914,2.769849333,2.635829446,2.894804153,2.904708283,2.93318976233333,3.399026837,1.00980528044762,1.17017838138619
"MAP1S",3.795171559,3.803261679,4.163974029,3.625742774,4.797805119,3.824316619,4.00171196316667,3.89536147766667,4.65475615,0.973423753013987,1.16319120237644
"P2RY2",4.833358537,4.578031503,4.979555914,3.612480766,3.911697853,3.956133052,4.31187627083333,4.00267743766667,4.97975025,0.928291348418745,1.15489173093494
"ALDH8A1",4.264865392,4.398942934,3.906305608,2.698432206,3.676364975,3.807694529,3.79210094066667,2.61569921866667,2.92214200633333,0.689775736351263,0.770586556648887
"NUAK1",3.730637444,3.972497609,6.136053993,2.541197363,2.573742976,2.600760432,3.59248163616667,2.454808895,2.550242496,0.683318425426772,0.709883237906045
"ZNF792",4.11782625,4.382712054,3.767494068,2.76014914,2.722575061,3.034552196,3.46421812816667,2.301206537,2.829504072,0.664278764171771,0.816779996904361
"ZFY",5.3050662975,3.0562158985,5.622548755,2.253746237,2.094082452,2.2607977445,3.43207623075,2.265235087,2.2503362475,0.660018873329333,0.655677816051376
"IRX3",6.191337223,5.745146643,4.362551844,3.306018435,2.882965847,2.785894561,4.21231909216667,2.767154589,3.26396062766667,0.656919508815434,0.774860725469827
"EIF1AY",8.3066157035,2.716333671,7.8440658105,2.251399052,2.4875633495,2.4021719245,4.33469158516667,2.620722148,2.436439547,0.604592529020547,0.562079100468764
"PRKY",6.288330095,3.626857285,6.686264269,2.305589291,2.464781672,2.160180576,3.92200053133333,2.36416954933333,2.67576277,0.602796845754022,0.682244367032337
"DDX3Y",7.449197261,3.0006828825,7.698444366,2.3750352885,2.296873341,2.4972353775,4.21957808608333,2.41863418466667,2.28655902241667,0.573193370361745,0.541892809131322
"USP9Y",7.526885021,2.890964799,7.2886936015,2.1855364505,2.3567223225,2.3926132715,4.10690257766667,2.296698226,2.2058069575,0.559228806275913,0.537097463547145
"RPS4Y1",11.88788445,3.515487181,11.82505033,2.845748065,2.836239779,3.090078055,6.00008131,3.03107261933333,2.78091558633333,0.505171923967366,0.46347965013383
"UGT2B17",4.499823804,3.318442603,2.66970424,2.2419487,2.504341127,2.483070751,2.9528885375,2.53298686766667,2.081790596,0.85779968850811,0.705001414568294
"UTY",6.07408299733333,3.66916105566667,6.427810567,3.17880527233333,2.92737815333333,3.04739768433333,4.22077262166667,3.048335759,2.97296048288889,0.722222216698396,0.704364046437297
"MME",4.0858203385,4.311034227,4.619152187,6.748776492,6.0291466505,3.1763520285,4.82838032058333,5.08347008133333,3.31535076233333,1.05283133138095,0.6866382807916
"ANXA3",6.172562809,7.347994496,4.27271917,6.606101274,4.700486734,3.050526261,5.35839845733333,4.148242612,3.51474753466667,0.774157174952685,0.655932469870077
